exp,myvar,citation,full_reference,X,bibtexkey
euroface_pe_c,leaf_n_mass,gielen_et_al_2003a,gielen_b_liberloo_m_bogaert_j_calfapietra_c_de_angalis_p_miglietta_f_scarascia-mugnozza_g_ceulemans_r_2003_three_years_of_free-air_co2_enrichment_popface_only_slightly_affect_profiles_of_light_and_leaf_characteristics_in_closed_canopies_of_popu,NA,@gielen_et_al_2003a
euroface_pe_c,leaf_n_area,calfapietra_et_al_2004,calfapietra_c_tulva_i_eensalu_e_perez_m_de_angelis_p_scarascia-mugnozza_g_kull_o_2005_canopy_profiles_of_photosynthetic_parameters_under_elevated_co2_and_n_fertilization_in_a_poplar_plantation_environmental_pollution_137:525ñ535,NA,@calfapietra_et_al_2004
euroface_pe_c,leaf_n_area,gielen_et_al_2003a,gielen_b_liberloo_m_bogaert_j_calfapietra_c_de_angalis_p_miglietta_f_scarascia-mugnozza_g_ceulemans_r_2003_three_years_of_free-air_co2_enrichment_popface_only_slightly_affect_profiles_of_light_and_leaf_characteristics_in_closed_canopies_of_popu,NA,@gielen_et_al_2003a
euroface_pe_c,jmax,calfapietra_et_al_2004,calfapietra_c_tulva_i_eensalu_e_perez_m_de_angelis_p_scarascia-mugnozza_g_kull_o_2005_canopy_profiles_of_photosynthetic_parameters_under_elevated_co2_and_n_fertilization_in_a_poplar_plantation_environmental_pollution_137:525ñ535,NA,@calfapietra_et_al_2004
euroface_pn_c,root_production,NA,NA,NA,NA
euroface_pn_c,leaf_n_mass,gielen_et_al_2003a,gielen_b_liberloo_m_bogaert_j_calfapietra_c_de_angalis_p_miglietta_f_scarascia-mugnozza_g_ceulemans_r_2003_three_years_of_free-air_co2_enrichment_popface_only_slightly_affect_profiles_of_light_and_leaf_characteristics_in_closed_canopies_of_popu,NA,@gielen_et_al_2003a
euroface_pn_c,leaf_n_mass,luo_et_al_2008,bernacchi_cj_calfapietra_c_davey_pa_wittig_ve_scarascia-mugnozza_ge_raines_ca_long_sp_2003_photosynthesis_and_stomatal_conductance_responses_of_poplars_to_free-air_co2_enrichment_popface_during_the_first_growth_cycle_and_immediately_following_co,NA,@luo_et_al_2008
euroface_pn_c,leaf_n_area,gielen_et_al_2003a,gielen_b_liberloo_m_bogaert_j_calfapietra_c_de_angalis_p_miglietta_f_scarascia-mugnozza_g_ceulemans_r_2003_three_years_of_free-air_co2_enrichment_popface_only_slightly_affect_profiles_of_light_and_leaf_characteristics_in_closed_canopies_of_popu,NA,@gielen_et_al_2003a
euroface_pooled_c,bgb,lagomarsino_et_al_2009,lagomarsino_a_de_angelis_p_moscatelli_m_c_and_grego_s_2009_the_influence_of_temperature_and_labile_c_substrates_on_heterotrophic_respiration_in_response_to_elevated_co2_and_nitrogen_fertilization_plant_and_soil_3171ñ2_223ñ234_https://doiorg/101007/s11104-008-9804-0,NA,@lagomarsino_et_al_2009
euroface_pooled_c,n_inorg,NA,NA,NA,NA
euroface_pooled_c,n_uptake,NA,NA,NA,NA
for_32.6_-85.5_c,agb,pritchard_et_al_2001,NA,NA,NA
for_32.6_-85.5_c,bgb,pritchard_et_al_2001,NA,NA,NA
giface_c,agb,lenhart_2008,lenhart_k_2008_the_effects_of_long-term_free_air_co2_enrichment_face_on_soil_aggregation_soil_carbon_input_and_ecosystem_co2_dynamics_in_a_temperate_grassland_ecosystem_phd_dissertation_justus-liebig-universitaet_gieﬂen_gieﬂen_134_pp,NA,@lenhart_2008
giface_c,bgb,lenhart_2008,lenhart_k_2008_the_effects_of_long-term_free_air_co2_enrichment_face_on_soil_aggregation_soil_carbon_input_and_ecosystem_co2_dynamics_in_a_temperate_grassland_ecosystem_phd_dissertation_justus-liebig-universitaet_gieﬂen_gieﬂen_134_pp,NA,@lenhart_2008
giface_c,n_inorg,NA,NA,NA,NA
horsham_face10d_c,asat,tausz-posch_et_al_2013a,tausz-posch_s_seneweera_s_norton_rm_fitzgerald_gj_tausz_m_2012_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research_133_160ñ166,NA,@tausz-posch_et_al_2013a
horsham_face10h_c,asat,tausz-posch_et_al_2013a,tausz-posch_s_seneweera_s_norton_rm_fitzgerald_gj_tausz_m_2012_can_a_wheat_cultivar_with_high_transpiration_efficiency_maintain_its_yield_advantage_over_a_near-isogenic_cultivar_under_elevated_co2?_field_crops_research_133_160ñ166,NA,@tausz-posch_et_al_2013a
horsham_face10h45_c,anpp,thilakarathne_et_al_2015,thilakarathne_c_l_tausz-posch_s_cane_k_norton_r_m_fitzgerald_g_j_tausz_m_and_seneweera_s_2015_intraspecific_variation_in_leaf_growth_of_wheat_triticum_aestivum_under_australian_grain_free_air_co2_enrichment_agface:_is_it_regulated_through_carbon_and/or_nitrogen_supply?_functional_plant_biology_423_299ñ308_https://doiorg/101071/fp14125,NA,@thilakarathne_et_al_2015
horsham_face10y_c,anpp,thilakarathne_et_al_2015,thilakarathne_c_l_tausz-posch_s_cane_k_norton_r_m_fitzgerald_g_j_tausz_m_and_seneweera_s_2015_intraspecific_variation_in_leaf_growth_of_wheat_triticum_aestivum_under_australian_grain_free_air_co2_enrichment_agface:_is_it_regulated_through_carbon_and/or_nitrogen_supply?_functional_plant_biology_423_299ñ308_https://doiorg/101071/fp14125,NA,@thilakarathne_et_al_2015
horsham_face9hl_c,asat,tausz-posch_et_al_2013a,tausz-posch_s_borowiak_k_dempsey_rw_norton_rm_seneweera_s_fitzgerald_gj_tausz_m_2013_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_ñ_a_face_study_environmental,NA,@tausz-posch_et_al_2013a
horsham_face9hn_c,asat,tausz-posch_et_al_2013a,tausz-posch_s_borowiak_k_dempsey_rw_norton_rm_seneweera_s_fitzgerald_gj_tausz_m_2013_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_ñ_a_face_study_environmental,NA,@tausz-posch_et_al_2013a
horsham_face9yl_c,asat,tausz-posch_et_al_2013a,tausz-posch_s_borowiak_k_dempsey_rw_norton_rm_seneweera_s_fitzgerald_gj_tausz_m_2013_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_ñ_a_face_study_environmental,NA,@tausz-posch_et_al_2013a
horsham_face9yn_c,asat,tausz-posch_et_al_2013a,tausz-posch_s_borowiak_k_dempsey_rw_norton_rm_seneweera_s_fitzgerald_gj_tausz_m_2013_the_effect_of_elevated_co2_on_photochemistry_and_antioxidative_defence_capacity_in_wheat_depends_on_environmental_growing_conditions_ñ_a_face_study_environmental,NA,@tausz-posch_et_al_2013a
ipe_otc_cambisol_c,anpp,schutz_and_fangmeier_2001,schutz_m_and_fangmeier_a_2001_growth_and_yield_responses_of_spring_wheat_triticum_aestivum_l_cv_minaret_to_elevated_co2_and_water_limitation_environmental_pollution_114_187-194,NA,@schutz_and_fangmeier_2001
ipe_otc_chernosem_c,anpp,schutz_and_fangmeier_2001,schutz_m_and_fangmeier_a_2001_growth_and_yield_responses_of_spring_wheat_triticum_aestivum_l_cv_minaret_to_elevated_co2_and_water_limitation_environmental_pollution_114_187-194,NA,@schutz_and_fangmeier_2001
